Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,4/4/1987,FOOTHILL THRIFT AND LOAN COMPANY,2187099,FOOTHILL THRIFT AND LOAN COMPANY transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,12/31/1986,"LOCKHART COMPANY, THE",1027022,"LOCKHART COMPANY, THE transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. "
Acquisition,1/25/1986,PIONEER STATE BANK,1429064,PIONEER STATE BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.
Acquisition,12/11/1981,ZIONS FIRST NATIONAL BANK OF OREM,401175,ZIONS FIRST NATIONAL BANK OF OREM transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,12/11/1981,ZIONS FIRST NATIONAL BANK OF CEDAR CITY,926379,ZIONS FIRST NATIONAL BANK OF CEDAR CITY transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,1/2/1981,FIRST NATIONAL BANK OF LOGAN,808279,FIRST NATIONAL BANK OF LOGAN transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,12/1/1978,ZIONS FIRST NATIONAL BANK OF OGDEN,399375,ZIONS FIRST NATIONAL BANK OF OGDEN transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,1/11/1978,RICHFIELD COMMERCIAL AND SAVINGS BANK,249676,RICHFIELD COMMERCIAL AND SAVINGS BANK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,1/11/1978,FIRST STATE BANK,254072,FIRST STATE BANK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,8/1/1973,CARBON EMERY BANK,526078,CARBON EMERY BANK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,6/1/1973,BANK OF VERNAL,306074,BANK OF VERNAL transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,10/1/1970,BOUNTIFUL STATE BANK,800974,BOUNTIFUL STATE BANK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,7/1/1970,BANK OF ST. GEORGE,253570,BANK OF ST. GEORGE transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,5/30/1970,BANK OF COMMERCE,668772,BANK OF COMMERCE transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,12/31/1969,UTAH NATIONAL BANK,343172,UTAH NATIONAL BANK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,9/3/1968,BANK OF SPANISH FORK,213873,BANK OF SPANISH FORK transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Acquisition,5/1/1962,BANK OF KEARNS,34078,BANK OF KEARNS transferred its assets to one or more institutions including ZIONS FIRST NATIONAL BANK. 
Institution Established,1/1/1890,,,"ZIONS FIRST NATIONAL BANK was established as a National Bank at ONE SOUTH MAIN STREET , SALT LAKE CITY, UT."
